SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,NPOPCHG_2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
10,0,0,0,United States,331516113,331578104,332100166,333996304,336755052,340003797,341784857,61991,522062,1896138,2758748,3248745,1781060,894123,3584459,3680380,3648896,3608217,3620461,852024,3438423,3456354,3154285,3093940,3101603,42099,146036,224026,494611,514277,518858,19892,376026,1672112,2264137,2734468,1262202,0,0,0,0,0,0,19892,376026,1672112,2264137,2734468,1262202,0,0,0,0,0,0,8305481,8169006,7879040,8187501,8341542,8433491,8439257,10.801797082,11.050591516,10.880025713,10.663228136,10.620478879,10.361716378,10.377938199,9.4052288431,9.1434046398,9.0984294966,0.4400807036,0.672653317,1.4747968694,1.5198234962,1.5220493828,1.1331574861,5.0206301198,6.7510471049,8.0810705439,3.7026195511,0,0,0,0,0,1.1331574861,5.0206301198,6.7510471049,8.0810705439,3.7026195511
20,1,0,0,Northeast Region,57617560,57436027,57234503,57174375,57458539,57940522,58042054,-181533,-201524,-60128,284164,481983,101532,146070,572863,588925,579757,574926,572507,193427,561002,564109,528693,516722,512934,-47357,11861,24816,51064,58204,59573,4433,80448,344754,510609,605435,246382,-130285,-288705,-426289,-274149,-179324,-205552,-125852,-208257,-81535,236460,426111,40830,-8324,-5128,-3409,-3360,-2332,1129,1705049,1625517,1670664,1719250,1790521,1830072,1814430,9.9914598808,10.295092659,10.1150181,9.9641365366,9.8722932314,9.7845889436,9.8612801709,9.224104693,8.9553934932,8.8450182379,0.2068709371,0.4338124879,0.8909134073,1.0087430434,1.0272749934,1.4031155171,6.0267001307,8.9085932161,10.492893005,4.2486036868,-5.035382674,-7.452026581,-4.783076525,-3.107893573,-3.544532413,-3.632267157,-1.425326451,4.1255166906,7.3849994325,0.7040712736
30,1,1,0,New England,15122087,15047713,15116021,15178293,15267275,15386901,15431980,-74374,68308,62272,88982,119626,45079,35403,139204,144796,142380,140797,141449,46227,143819,149534,143562,142128,140006,-10824,-4615,-4738,-1182,-1331,1443,1563,26730,110006,121848,135265,70763,-55434,43201,-38619,-30013,-13340,-27602,-53871,69931,71387,91835,121925,43161,-9679,2992,-4377,-1671,-968,475,509209,449361,487560,510677,520997,534806,537438,9.2298917634,9.5592856138,9.3530854803,9.1861546042,9.1793728656,9.5358883618,9.8720835864,9.4307322498,9.2729943222,9.0857289724,-0.305996598,-0.312797973,-0.077646769,-0.086839718,0.0936438932,1.7723269937,7.2624849667,8.0043177385,8.8252249873,4.5921849012,2.8644331633,-2.549587358,-1.971584173,-0.870354499,-1.791239598,4.6367601571,4.7128976084,6.0327335657,7.9548704881,2.8009453036
30,1,2,0,Middle Atlantic,42495473,42388314,42118482,41996082,42191264,42553621,42610074,-107159,-269832,-122400,195182,362357,56453,110667,433659,444129,437377,434129,431058,147200,417183,414575,385131,374594,372928,-36533,16476,29554,52246,59535,58130,2870,53718,234748,388761,470170,175619,-74851,-331906,-387670,-244136,-165984,-177950,-71981,-278188,-152922,144625,304186,-2331,1355,-8120,968,-1689,-1364,654,1195840,1176156,1183104,1208573,1269524,1295266,1276992,10.263292907,10.560097536,10.390563922,10.245550513,10.123045976,9.873359771,9.8573892626,9.1493797655,8.8405099612,8.7579102809,0.3899331363,0.702708273,1.2411841561,1.405040552,1.3651356954,1.2713297047,5.5816255554,9.2356160034,11.096126923,4.1242691501,-7.855131557,-9.217666515,-5.799826496,-3.917262971,-4.179010786,-6.583801852,-3.63604096,3.4357895069,7.1788639515,-0.054741636
20,2,0,0,Midwest Region,68999462,68979566,68867096,68872112,69132050,69518281,69762666,-19896,-112470,5016,259938,386231,244385,190006,747473,753901,744414,735192,737743,186270,762711,771578,701318,684822,691326,3736,-15238,-17677,43096,50370,46417,3082,55297,218638,314946,382875,180161,-37458,-175434,-180661,-91566,-43686,16040,-34376,-120137,37977,223380,339189,196201,10744,22905,-15284,-6538,-3328,1767,1740852,1735403,1640399,1692184,1717350,1734689,1741779,10.844992387,10.946788659,10.788283327,10.604980092,10.593595404,11.066078626,11.203462125,10.163722454,9.8784041129,9.9270720783,-0.221086239,-0.256673467,0.6245608738,0.7265759791,0.6665233257,0.8022972656,3.1746661415,4.5642971261,5.5228862021,2.5870157244,-2.545349992,-2.62323274,-1.327003457,-0.630160775,0.230325832,-1.743052726,0.5514334016,3.2372936694,4.8927254274,2.8173415564
30,2,3,0,East North Central,47381476,47353837,47203510,47163396,47315626,47555538,47693655,-27639,-150327,-40114,152230,239912,138117,127310,500297,504103,496475,490580,490449,133469,530478,537461,485626,472717,475551,-6159,-30181,-33358,10849,17863,14898,1990,37011,158278,231180,275271,129075,-31173,-172366,-154584,-85055,-50632,-7114,-29183,-135355,3694,146125,224639,121961,7703,15209,-10450,-4744,-2590,1258,1139260,1137576,1051131,1093290,1116612,1129762,1136668,10.581874722,10.683893779,10.509740459,10.342025528,10.298228983,11.220238656,11.390878917,10.280081011,9.965451673,9.9854074354,-0.638363934,-0.706985137,0.2296594476,0.3765738555,0.312821548,0.7828265317,3.3545234597,4.8937847811,5.803048859,2.710259183,-3.645745264,-3.276233302,-1.800505513,-1.067384395,-0.149376594,-2.862918732,0.0782901582,3.0932792679,4.7356644639,2.5608825893
30,2,4,0,West North Central,21617986,21625729,21663586,21708716,21816424,21962743,22069011,7743,37857,45130,107708,146319,106268,62696,247176,249798,247939,244612,247294,52801,232233,234117,215692,212105,215775,9895,14943,15681,32247,32507,31519,1092,18286,60360,83766,107604,51086,-6285,-3068,-26077,-6511,6946,23154,-5193,15218,34283,77255,114550,74240,3041,7696,-4834,-1794,-738,509,601592,597827,589268,598894,600738,604927,605111,11.41972332,11.518779889,11.392909937,11.174812897,11.232530051,10.729345105,10.795691684,9.9111456046,9.6897686518,9.8008814275,0.6903782146,0.723088205,1.4817643321,1.4850442449,1.4316486234,0.844827413,2.7833431576,3.8490858387,4.9157627874,2.3204163068,-0.141743985,-1.20247249,-0.299183414,0.3173198796,1.0516955559,0.7030834283,1.5808706672,3.5499024242,5.2330826669,3.3721118627
20,3,0,0,South Region,126281605,126473371,127380165,129066102,130894372,132662072,133833983,191766,906794,1685937,1828270,1767700,1171911,348450,1427445,1481260,1488839,1472891,1481266,314317,1404166,1415258,1268450,1256122,1258400,34133,23279,66002,220389,216769,222866,8937,155227,757942,919367,1146872,596005,154622,732442,836925,677221,398525,357790,163559,887669,1594867,1596588,1545397,953795,-5926,-4154,25068,11293,5534,-4750,3069808,3038941,3004268,3055673,3092194,3114225,3122968,11.24620931,11.552205593,11.454349018,11.17704411,11.116607336,11.062804341,11.037462284,9.7587912538,9.5320909702,9.4440422392,0.1834049694,0.5147433088,1.6955577639,1.6449531395,1.6725650967,1.2229650408,5.911117435,7.073129125,8.7030465474,4.472899233,5.7705873358,6.5270983258,5.210184376,3.0242098729,2.6851429377,6.9935523766,12.438215761,12.283313501,11.72725642,7.1580421706
30,3,5,0,South Atlantic,66098022,66176335,66686315,67671784,68680474,69586214,70198706,78313,509980,985469,1008690,905740,612492,172327,699936,728467,728106,720902,726922,168537,727706,744850,673836,666037,664595,3790,-27770,-16383,54270,54865,62327,5995,97729,475583,560519,617293,349644,77805,447313,507501,385372,229300,203812,83800,545042,983084,945891,846593,553456,-9277,-7292,18768,8529,4282,-3291,1629686,1596015,1594010,1624765,1639083,1649751,1654738,10.536234224,10.843663395,10.679779135,10.427703309,10.40057826,10.954259907,11.087534068,9.8837527135,9.6340920526,9.508822554,-0.418025683,-0.243870673,0.7960264215,0.7936112565,0.8917557058,1.4711282667,7.0793350537,8.2216313572,8.9290198374,5.0025997082,6.733464973,7.5544534163,5.6525943267,3.3167786589,2.9160799319,8.2045932397,14.63378847,13.874225684,12.245798496,7.9186796401
30,3,6,0,East South Central,19405307,19427354,19472696,19602668,19763302,19948564,20069188,22047,45342,129972,160634,185262,120624,54324,223503,227935,229537,227320,228238,56467,258569,260942,231238,228831,229519,-2143,-35066,-33007,-1701,-1511,-1281,522,7308,47001,67578,113031,50096,23105,69814,114362,93969,73356,72099,23627,77122,161363,161547,186387,122195,563,3286,1616,788,386,-290,506093,509161,475736,497611,503868,505146,507717,11.491142042,11.66643003,11.661696638,11.448467317,11.406837645,13.294018902,13.355832079,11.748116457,11.524565479,11.470859233,-1.80287686,-1.689402049,-0.086419819,-0.076098162,-0.064021587,0.3757321649,2.4056589722,3.4333207082,5.6925554694,2.5036888629,3.5894041267,5.8534067654,4.7741234371,3.6944121437,3.6033508329,3.9651362916,8.2590657377,8.2074441453,9.3869676132,6.1070396958
