state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AL,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5032962,5050058,5076868,5117850,5163055,5193088
AK,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545,732906,734590,733659,734654,736537,737270
AZ,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,7186647,7274022,7370065,7452073,7556424,7623818
AR,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,3014399,3027127,3047429,3069856,3096080,3114791
CA,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,39527808,39152927,39125347,39181667,39364774,39355309
CO,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,5786873,5814368,5853355,5912240,5988502,6012561
CT,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,3579643,3607765,3618707,3641369,3674449,3688496
DE,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764,991890,1005130,1020279,1035354,1050123,1059952
DC,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,670958,669637,674501,682559,691310,693645
FL,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,21591325,21836698,22413989,22929248,23265838,23462518
GA,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,10732595,10793038,10929992,11063669,11204208,11302748
HI,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,1451130,1446909,1437812,1434950,1434952,1432820
ID,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065,1849328,1904855,1942951,1970497,2000872,2029733
IL,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821,12795348,12703354,12609577,12633389,12703033,12719141
IN,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219,6790290,6814223,6841491,6881373,6934754,6973333
IA,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070,3191081,3199037,3201890,3214739,3230454,3238387
KS,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314,2938274,2938966,2938034,2949749,2965252,2977220
KY,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673,4508271,4508348,4521238,4549953,4584046,4606864
LA,4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794,4652145,4628595,4600892,4598777,4614878,4618189
ME,1327629,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212,1364546,1379009,1391585,1401992,1408438,1414874
MD,5788645,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680,6178387,6176035,6183257,6204927,6245314,6265347
MA,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503,6985320,6996721,7025465,7073479,7138560,7154084
MI,9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857,10072294,10042362,10043906,10062124,10099962,10127884
MN,5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632,5710562,5714055,5727565,5752998,5797405,5830405
MS,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,2958385,2947603,2941237,2942470,2950172,2954160
MO,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428,6155074,6172551,6179285,6205956,6243544,6270541
MT,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,1087156,1106416,1121533,1130612,1137557,1144694
NE,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,1963318,1964697,1972595,1988172,2005591,2018006
NV,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,3116851,3148472,3177672,3211077,3253543,3282188
